sender,receiver,amount,ip,timestamp,status,isFraud
user16,8179631808,47905,239.193.17.110,2026-02-17 20:02:32,success,0
user2,9632007917,20528,214.232.223.187,2026-02-14 02:12:54,success,0
user20,9278114915,37195,176.220.111.148,2026-02-27 03:46:08,success,0
user11,8864621288,36100,208.153.167.30,2026-02-18 19:56:10,success,0
user46,6188744035,18338,159.114.73.229,2026-01-30 05:46:44,success,0
user1,6342867389,1243,193.89.188.206,2026-01-08 07:08:04,success,0
user34,7121659170,48654,103.176.250.126,2026-02-12 21:43:20,fraud,1
user10,6643655326,22072,214.145.217.125,2026-02-22 09:44:09,fraud,1
user37,9839382297,237,20.136.189.172,2026-02-26 00:07:03,success,0
user46,9371671056,10861,45.160.235.97,2026-02-11 11:56:26,success,0
user3,8971238307,37705,93.201.248.83,2026-02-25 16:55:10,success,0
user50,8778353723,29974,180.125.198.105,2026-02-28 05:39:36,success,0
user39,7211759186,18149,207.141.17.129,2026-01-24 01:02:24,success,0
user41,6872558154,28978,116.217.31.185,2026-01-12 14:41:51,success,0
user7,7867963175,46995,93.131.217.77,2026-02-03 08:45:00,success,0
user23,8107718327,35308,101.19.96.52,2026-02-12 06:52:45,success,0
user25,6988562267,26511,97.64.208.116,2026-01-20 19:37:46,fraud,1
user25,7642992912,30546,216.99.157.143,2026-02-23 12:40:39,fraud,1
user6,6774971798,6844,244.144.184.18,2026-02-25 05:33:36,success,0
user24,9678315228,30004,38.119.67.17,2026-03-16 17:38:54,success,0
user18,6427563496,34650,247.245.170.189,2026-03-14 16:34:30,success,0
user48,7324643280,22118,14.10.198.253,2026-01-21 03:40:50,success,0
user49,8480519754,10549,102.65.160.203,2026-01-27 01:44:37,success,0
user4,9109988091,48329,248.248.85.83,2026-01-13 00:16:48,fraud,1
user22,8750624823,26076,198.239.40.91,2026-02-18 01:49:38,success,0
user12,7174653877,2295,140.73.186.90,2026-03-14 14:00:05,success,0
user7,7266715829,2557,250.130.84.21,2026-01-07 16:56:40,success,0
user27,8514842682,42929,157.21.80.110,2026-01-22 19:29:08,fraud,1
user25,6444303238,45262,16.248.216.85,2026-03-13 01:04:20,fraud,1
user32,8755656992,42886,78.25.140.180,2026-01-22 05:16:13,fraud,1
user31,9820029926,45761,176.148.57.89,2026-02-10 11:26:14,fraud,1
user21,8476416357,22271,48.15.116.251,2026-02-27 11:14:08,success,0
user6,8158441175,29133,84.40.188.48,2026-02-08 21:00:40,success,0
user16,8821874160,22656,133.82.28.46,2026-01-31 06:09:59,success,0
user41,7969009332,35441,167.16.5.60,2026-03-20 10:08:08,fraud,1
user10,6449508099,30907,117.91.70.39,2026-02-10 16:33:18,fraud,1
user42,6671962682,47929,172.191.227.165,2026-02-23 11:16:51,success,0
user2,8183621444,16068,63.168.106.174,2026-02-07 16:17:17,fraud,1
user38,7594044564,40391,37.155.203.195,2026-03-05 08:10:18,success,0
user48,7748545363,11100,222.143.105.26,2026-01-06 15:40:18,success,0
user41,8397365539,9154,99.80.200.190,2026-01-03 17:35:17,success,0
user36,9009651328,23712,43.203.104.54,2026-03-04 22:58:28,fraud,1
user27,9047958303,26536,62.19.47.42,2026-02-23 14:12:02,fraud,1
user10,6630968154,23017,184.203.111.113,2026-03-17 14:23:53,success,0
user43,7572178095,25684,151.225.8.62,2026-01-06 07:47:52,fraud,1
user12,7382841768,30358,139.173.210.215,2026-01-05 01:54:20,fraud,1
user21,8626034986,22771,130.92.56.18,2026-02-11 05:33:31,fraud,1
user26,9761274090,33990,235.85.222.5,2026-02-14 09:17:54,success,0
user45,9829227866,38017,181.195.52.238,2026-03-10 17:39:11,success,0
user7,9289247696,6197,218.192.57.116,2026-01-27 11:34:11,success,0
user7,9722791678,38254,137.209.142.44,2026-02-05 04:43:13,success,0
user42,9777140644,23743,12.153.14.88,2026-02-07 16:14:41,success,0
user30,6528941048,18402,176.222.203.1,2026-03-02 15:30:36,fraud,1
user21,9142367250,10226,242.61.103.7,2026-03-12 10:57:17,success,0
user27,7020222725,44321,125.56.116.225,2026-01-27 23:48:32,success,0
user30,9123744627,49559,146.87.36.252,2026-03-04 17:15:13,success,0
user1,9607575160,45900,135.120.183.225,2026-01-25 02:39:42,fraud,1
user39,6286846754,5743,26.67.40.5,2026-01-24 07:24:34,success,0
user11,7441289426,48617,188.79.160.52,2026-02-26 21:05:33,success,0
user39,7533619777,37759,71.252.52.224,2026-02-17 00:14:36,success,0
